アプリ,種別,テキスト,半角換算文字数,判定
おはようペット,見出し(最大30),起きるだけで、ペットが育つ,26,OK
おはようペット,見出し(最大30),朝が苦手な人のための目覚まし,28,OK
おはようペット,見出し(最大30),会いにいきたくなる目覚まし,26,OK
おはようペット,見出し(最大30),かわいいペットを育てる時計,26,OK
おはようペット,見出し(最大30),起き方でペットが進化する,24,OK
おはようペット,見出し(最大30),曜日別アラームとスヌーズ,24,OK
おはようペット,見出し(最大30),24種類の進化と飼い主診断,24,OK
おはようペット,見出し(最大30),ペットと始める朝の習慣,22,OK
おはようペット,見出し(最大30),目覚まし時計とペット育成,24,OK
おはようペット,見出し(最大30),起きたら、おはよう。,20,OK
おはようペット,説明文(最大90),設定したアラームで起きると、ペットが育ちます。夜は電気を消すだけ。,66,OK
おはようペット,説明文(最大90),起きる時刻のリズムで、犬にも猫にも神獣にも。24種類の進化があります。,68,OK
おはようペット,説明文(最大90),曜日別の繰り返し、スヌーズ、スライドで停止。目覚ましとして快適です。,68,OK
おはようペット,説明文(最大90),ウィジェットで、次のアラーム時刻とペットの様子をひと目で確認できます。,70,OK
おはようペット,説明文(最大90),睡眠リズムから16タイプの飼い主診断。結果は画像でシェアできます。,64,OK
おはようペット,説明文(最大90),育成をお休みできるアラームモード搭載。純粋な目覚ましとしても使えます。,70,OK
おはようペット,説明文(最大90),夜は電気を消して寝かせるだけ。寝る前の長い操作は必要ありません。,64,OK
おはようペット,説明文(最大90),たまごから赤ちゃん、こども、おとなへ。毎朝の起床が成長につながります。,70,OK
CotzCotz,見出し(最大30),会社にいても応援できる,22,OK
CotzCotz,見出し(最大30),留守番の子とつながる,20,OK
CotzCotz,見出し(最大30),「ただいま」の前にほめる,24,OK
CotzCotz,見出し(最大30),はなれていてもスタンプ,22,OK
CotzCotz,見出し(最大30),勉強しなさいと言わない毎日,26,OK
CotzCotz,見出し(最大30),子どもの習慣を家族で見守る,26,OK
CotzCotz,見出し(最大30),お手伝いと宿題をポイントに,26,OK
CotzCotz,見出し(最大30),続けた日数が称号になる,22,OK
CotzCotz,見出し(最大30),親子でつかう習慣アプリ,22,OK
CotzCotz,見出し(最大30),ごほうびシールをアプリで,24,OK
CotzCotz,見出し(最大30),ふたりでコツコツ続ける,22,OK
CotzCotz,見出し(最大30),三日坊主を、こえていく,22,OK
CotzCotz,見出し(最大30),続けるほど遊園地が育つ,22,OK
CotzCotz,見出し(最大30),きょうだいの分もカード無料,26,OK
CotzCotz,説明文(最大90),子どもが記録すると親のスマホに届きます。会社にいてもスタンプで応援。,68,OK
CotzCotz,説明文(最大90),留守番の日も「できたよ」がすぐ届く。帰る前にほめてあげられます。,64,OK
CotzCotz,説明文(最大90),共働きでも単身赴任でも、親子で同じカードを見て今日の積み上げを共有。,68,OK
CotzCotz,説明文(最大90),やることを1枚のカードに。長押しで記録し、家族がスタンプで応援します。,69,OK
CotzCotz,説明文(最大90),親のスマホと子どものスマホで同じカードを共有。離れていても見守れます。,70,OK
CotzCotz,説明文(最大90),3日でブロンズ、30日でゴールド、1年でヒーロー。続けた日数が形になります。,72,OK
CotzCotz,説明文(最大90),続けるほど、自分だけのコツコツ遊園地が育ちます。観覧車もお城も。,64,OK
CotzCotz,説明文(最大90),おやすみを使えば連続は途切れません。できなかった日を責めない設計です。,70,OK
CotzCotz,説明文(最大90),ホーム画面ウィジェットで、今日の記録と確認待ちがすぐに分かります。,66,OK
CotzCotz,説明文(最大90),目標カードは毎日型・回数型・ペース型・やりとげる型の4種類から選べます。,71,OK
CotzCotz,説明文(最大90),子どもの年齢に合わせて、ひらがなと漢字の表示を自動で切り替えます。,66,OK
